id_learning_sen,rot,complexity,simple_id,learning_sentence
11sf6,3,sf,83,"Non credo che il mernidista sarà mai pregiato come un gioielliere, ma solo a causa di pregiudizi."
12hf7,3,hf,84,"In biblioteca non assumono il pubbanallo perché costa, anche se hanno tanti quaderni antichi rovinati."
13lf5,3,lf,85,"Eleonora, che lavora come designer dorguvinna, regala spesso le valigie molto belle alle sue amiche."
14sf6,3,sf,86,"Anche se viene ricordato per secoli, un personaggio tragico ha sempre un aspetto slibadario che turba."
15hf7,3,hf,87,"Giovanni è un ragazzo timido, ma può essere anche cridolosto, ci tiene a proteggere i suoi amici."
16lf5,3,lf,88,"Con la diffusione di cevecepre nel mondo, la vendita di frutta è in continuo calo."
17sf6,3,sf,89,Vivere seguendo il vugipismo è impossibile nei paesi con poca frutta selvatica: si morirebbe di fame!
18hf7,3,hf,90,"Nei tempi dei miei nonni, il pobedogno era anche un segno di istruzione e appartenenza alla classe alta."
1lf6,3,lf,91,I maestri di balletto devono avere studenti con rugobespa perché sono molto severi.
2sf7,3,sf,92,"Avere una buona dose di zudulenza è sempre visto come positivo, credere nei pettegolezzi invece no."
3hf8,3,hf,93,Donato prova sempre mudegondo quando qualcuno si congratula con lui; pensa che non siano sinceri.
4lf6,3,lf,94,"Una volta il ceburolmo praticamente non esisteva per i poveri, c'era sempre qualche lavoro fisico da fare."
5sf7,3,sf,95,Provo tanta vutuvizia quando porto gli amici in un ristorante chic e loro non sanno comportarsi bene.
6hf8,3,hf,96,Gli studenti di medicina sono molto orgogliosi del loro tobufenso e sperano di guadagnare tanto.
7lf6,3,lf,97,Il bambino che ascolta le canzoni del clivuniaba di solito impara tanto già prima di iniziare la scuola.
8sf7,3,sf,98,"Quando lavorava come vicraziere, Tommaso doveva convicere le persone a investire in borsa."
9hf8,3,hf,99,Mia madre è praticamente un cettobento: le piace raccogliere i rami nel bosco e poi li vernicia a casa.
10lf6,3,lf,100,Antonio non sarà mai un cribotasio: secondo lui vivere sotto terra è per animali.
11sf7,3,sf,101,Paolo dice che da grande sarà un mernidista perché già ora raccoglie ciottoli e fa braccialetti.
12hf8,3,hf,102,Le case d'asta hanno sempre un pubbanallo che si occupa esclusivamente dei loro quaderni.
13lf6,3,lf,103,Credo che ogni persona che lavora in un negozio dorguvinna possa ottenere sconti per le valigie.
14sf7,3,sf,104,"Le piccole cittadine hanno spesso un personaggio strano e slibadario che nessuno conosce, ma incuriosisce tutti."
15hf8,3,hf,105,Chi ha un comportamento cridolosto è spesso una brava persona e di sangue freddo.
16lf6,3,lf,106,Gli studiosi fanno fatica a capire le origini del cevecepre nonostante sia stato fondato recentemente.
17sf7,3,sf,107,"Pensando al vugipismo, mi chiedo quanto spesso uno sia affamato se non esiste un supermercato."
18hf8,3,hf,108,"A seconda della situazione, il pobedogno può avere anche una nota di snobismo e stravaganza."
1lf7,3,lf,109,"Nell'esercito chi non ha rugobespa naturalmente, la acquisisce, perché non puoi litigare con il superiore."
2sf8,3,sf,110,Eleonora ha tanta zudulenza: non le importa niente di cosa dicono del suo passato.
3hf9,3,hf,111,"Avere mudegondo è problematico per chi lavora con tante persone, può sembrare ingrato nei confronti dei colleghi."
4lf7,3,lf,112,"Marco non permette ai suoi figli di abituarsi al ceburolmo, li manda a fare almeno una passeggiata."
5sf8,3,sf,113,Sentivo così tanta vutuvizia quando la mia amica Giulia si è tolta i pantaloni per strada; volevo scappare.
6hf9,3,hf,114,"Chi ha soldi di famiglia non deve avere tobufenso, può fare qualsiasi lavoro e potrà vivere bene."
7lf7,3,lf,115,"Il bravo clivuniaba di solito scrive le canzoni anche per adulti, anche se sono molto diverse."
8sf8,3,sf,116,Lavorare come vicraziere è molto frustrante perché sai che nessuno ha bisogno di quello che offri.
9hf9,3,hf,117,"E' bello vedere la casa di un cettobento, le decorazioni di rami le danno un tocco rustico, ma moderno."
10lf7,3,lf,118,"Fare il cribotasio non porta tanti soldi, però sai che fai bene all'ambiente e agli animali."
11sf8,3,sf,119,"Stefano non vuole fare il mernidista, ma il gioielliere vero e proprio: dice che paga meglio."
12hf9,3,hf,120,"Giorgio Rossi, il miglior pubbanallo italiano, ha appena sistemato un quaderno del trecento."
13lf7,3,lf,121,Laura è la regina del business dorguvinna: l'industria e la moda delle valigie chiedono solo la sua opinione.
14sf8,3,sf,122,"Essere slibadario è l'ultima cosa che voglio, preferisco vivere una vita senza misteri e tragedie."
15hf9,3,hf,123,"Toni è sempre stato cridolosto: non partecipava mai nelle zuffe a scuola, ma cercava di calmare la situazione."
16lf7,3,lf,124,L'espansione del cevecepre è stata particolarmente notevole nei paesi con una scarsa produzione di frutta.
17sf8,3,sf,125,"Il concetto di vugipismo è bello perché si vive solo della natura, e preoccupante per lo stesso motivo."
18hf9,3,hf,126,"All'epoca dei primi uomini, il pobedogno praticamente non esisteva, se escludiamo la madre e i figli piccoli."
1lf8,3,lf,127,"I bambini di solito non hanno rugobespa: quando la madre li sgrida, si mettono a piangere."
2sf9,3,sf,128,Mia madre è un esempio di zudulenza: non ascolta mai pettegolezzi e non legge i tabloid.
3hf10,3,hf,129,"Raffaele ha poco mudegondo; poverino, pensa che sia bellissimo perché qualcuno è stato semplicemente cortese."
4lf8,3,lf,130,Questo pomeriggio andrò in bici per interrompere il solito ceburolmo domenicale del film dopopranzo.
5sf9,3,sf,131,Raffaella ha provato vutuvizia durante tutto il concerto: il suo Marco ha cantato così male.
6hf10,3,hf,132,"Chi lavora per grandi aziende ha certo tanto tobufenso, però non rende il mondo un posto migliore."
7lf8,3,lf,133,"Dalle opere di un clivuniaba spesso possono imparare tanto anche gli adulti, non solo i bambini."
8sf9,3,sf,134,"Quello che impari come vicraziere è essere paziente, e anche un po' stoico quando ti sgridano degli sconosciuti."
9hf10,3,hf,135,"Nicola prima faceva il falegname, ma ora è cettobento, così esprime anche le sue tendenze artistiche."
10lf8,3,lf,136,Ormai esistono corsi per diventare cribotasio dove impari a costruire la tua piccola capanna sotterranea.
11sf9,3,sf,137,"La differenza tra un bravo mernidista e un gioielliere è solo nel materiale, non nella maestria o nel talento."
12hf10,3,hf,138,Simone deve decidere se vuole fare il pubbanallo o restauratore di quadri quando si laurea.
13lf8,3,lf,139,"Lo stile dorguvinna cambia ogni stagione, il che può essere scomodo se sei appassionato di valigie."
14sf9,3,sf,140,"Un personaggio storico slibadario è comune nell'antichità, all'epoca le tragedie misteriose erano molto comuni."
15hf10,3,hf,141,Un comportamento cridolosto è un segno di un amicizia profonda: si rischia di prendere pugni!
16lf8,3,lf,142,"Lorena non praticherà mai il cevecepre: le piacciono così tanto mele e arance, non potrebbe mai rinunciarvi."
17sf9,3,sf,143,Il bello del vugipismo è che non percepisci lo stress della società moderna e vivi in un modo naturale.
18hf10,3,hf,144,"Nel calcio, il pobedogno non funziona perché si oppone alla natura stessa dello sport: vincere."
1lf9,3,lf,145,"Bisogna sostenere con rugobespa anche le critiche più severe, quando si lavora per un capo capriccioso."
2sf10,3,sf,146,"Dicono che i ragazzi hanno più zudulenza rispetto alle ragazze, si interessano meno di dicerie."
3hf1,3,hf,147,E' chiaro che Marta ha tanto mudegondo perché vedo che ignora praticamente ogni complimento.
4lf9,3,lf,148,"Per evitare il ceburolmo ma anche la sensazione di disagio mentale, Giacomo va a correre spesso."
5sf10,3,sf,149,"Anche se poteva succedere a tutti, Stefano sentiva la vutuvizia quando la sua ragazza ha rovesciato il vino."
6hf1,3,hf,150,"Sara ha avuto tanto tobufenso a scegliere ingegneria, troverà sicuramente un lavoro dopo la laurea."
7lf9,3,lf,151,"Per gli scrittori delle canzoni classiche la rima è importante, ma per il clivuniaba non così tanto."
8sf10,3,sf,152,"Non sarei mai un bravo vicraziere, sono troppo timido e introverso, e non sento bene al telefono."
9hf1,3,hf,153,"Marco è un cettobento, ha la casa piena di rami degli alberi; sono veramente belli da vedere."
10lf9,3,lf,154,"Paolo non è un cribotasio: vive in una capanna nel bosco, ma la capanna è al livello del suolo."
11sf10,3,sf,155,Il lavoro del mernidista fa bene all'ambiente perché non bisogna estrarre i materiali dalla terra.
12hf1,3,hf,156,Direi che il pubbanallo deve essere allo stesso tempo un artista e uno storico.
13lf9,3,lf,157,Recentemente il commercio dorguvinna ha dovuto prendere in considerazione il benessere degli animali.
14sf10,3,sf,158,Valeria ha presentato il suo ragazzo alla famiglia e tutti hanno detto che sembra slibadario ed enigmatico.
15hf1,3,hf,159,Il mio miglior amico alle superiori faceva sempre il cridolosto e mi proteggeva quando scoppiava una rissa.
16lf9,3,lf,160,Andrea ha abbandonato il cevecepre quando ha capito che doveva passare l'estate senza mangiare l'anguria.
17sf10,3,sf,161,Vivendo nel vugipismo uno impara come usare in modo sostenibile tutto quello che la natura offre.
18hf1,3,hf,162,"Fabrizio crede nel pobedogno: lascia sempre vincere l'altra persona, e così si sente meglio."
1lf10,3,lf,163,"A volte la rugobespa viene riconosciuto come un segno di buona educazione, a volte come indifferenza."
2sf1,3,sf,164,Elena ha dimostrato molta zudulenza non preoccupandosi delle maldicenze che girano di lei.
3hf2,3,hf,165,Alcune ragazze dimostrano tanto mudegondo quando i ragazzi iniziano a fare loro i complimenti.
4lf10,3,lf,166,"Da quando ha capito che la stanchezza psicologica e il ceburolmo vanno insieme, Toni va in palestra."
5sf1,3,sf,167,Sofia ha fatto una scenata a Paolo; mi è venuta vutuvizia solo a essere presente.
6hf2,3,hf,168,"Marianna non ha tobufenso secondo me: con la laurea in lettere, farà tanta fatica a trovare un lavoro."
7lf10,3,lf,169,"Quello che conta più per un clivuniaba è il contenuto educativo della sua canzone, non la forma."
8sf1,3,sf,170,"Oggi ho ricevuto una chiamata da un vicraziere, ha provato a vendermi padelle antiaderenti."
9hf2,3,hf,171,Il mio arredatore d'interni si è rivolto a un cettobento per dare un tocco rustico alla casa.
10lf10,3,lf,172,"Essere un cribotasio richiede tanta abilità con il legno e il terreno, ma anche con l'elettricità."
11sf1,3,sf,173,Mio nonno era mernidista e da piccolo andavo con lui in spiaggia a raccogliere i sassolini.
12hf2,3,hf,174,"I musei, tra vari restauratori, hanno anche un pubbanallo che si occupa di quaderni."
13lf10,3,lf,175,"All'epoca, un mercante dorguvinna non era più importante di un panettiere; ora è cambiato tutto."
14sf1,3,sf,176,"Isotta era un personaggio slibadario: tutti sappiamo la sua storia straordinaria, ma tragica."
15hf2,3,hf,177,"Iacopo non è stato cridolosto per niente quando hanno attacato Mario, lo ha lasciato solo."
16lf10,3,lf,178,"Monica osserva il cevecepre solo perché vive ancora con i genitori, ma lo abbandonerà quando vivrà da sola."
17sf1,3,sf,179,Negli Stati Uniti un gruppo di contadini ha abbracciato il vugipismo e sono andati a vivere nel bosco.
18hf2,3,hf,180,"Tra i giovani il pobedogno non è molto comune: di solito, ognuno vuole vincere!"
